event,charge_mode,duration_minutes,km_driven,charge
0,0,155.00000070662668,16.54687558797578,-2.6999990317309113
0,0,2.9999999953926806,0.48437497726613,-7.626958620221558e-08
0,0,23.999999963141445,2.187499977387098,-0.8000009409881415
0,0,59.000000854060914,92.60937849529824,-20.40000099078587
0,0,2.9999999953926806,0.15625000039919354,-7.626958620221558e-08
0,0,2.9999999953926806,0.8281249866048392,-0.4000005086288638
1,240,32.00000089552679,0.0,4.700001040988141
0,0,22.999999492341452,6.203124989056452,-2.0000022380659885
0,0,1.0000000279852121,0.015625000744959646,-7.626958620221558e-08
0,0,155.00000070662668,16.54687558797578,-2.6999990317309113
0,0,2.9999999953926806,0.48437497726613,-7.626958620221558e-08
0,0,23.999999963141445,2.187499977387098,-0.8000009409881415
0,0,26.999999958534126,5.4687500562741915,-0.4000005086288638
0,0,2.9999999953926806,0.15625000039919354,-7.626958620221558e-08
0,0,2.9999999953926806,0.8281249866048392,-0.4000005086288638
1,240,32.00000089552679,0.0,4.700001040988141
0,0,22.999999492341452,6.203124989056452,-2.0000022380659885
0,0,1.0000000279852121,0.015625000744959646,-7.626958620221558e-08
0,0,155.00000070662668,16.54687558797578,-2.6999990317309113
0,0,2.9999999953926806,0.48437497726613,-7.626958620221558e-08
0,0,23.999999963141445,2.187499977387098,-0.8000009409881415
0,0,26.999999958534126,5.4687500562741915,-0.4000005086288638
0,0,2.9999999953926806,1.0625000083548384,-7.626958620221558e-08
0,0,2.9999999953926806,0.8281249866048392,-0.4000005086288638
1,240,32.00000089552679,0.0,4.700001040988141
0,0,22.999999492341452,6.203124989056452,-2.0000022380659885
0,0,1.0000000279852121,0.015625000744959646,-7.626958620221558e-08
0,0,155.00000070662668,16.54687558797578,-2.6999990317309113
0,0,2.9999999953926806,0.48437497726613,-7.626958620221558e-08
0,0,23.999999963141445,2.187499977387098,-0.8000009409881415
0,0,26.999999958534126,5.4687500562741915,-0.4000005086288638
0,0,2.9999999953926806,1.0625000083548384,-7.626958620221558e-08
0,0,2.0000000559704243,0.18749999483870988,-7.626958620221558e-08
1,240,32.00000089552679,0.0,4.700001040988141
0,0,22.999999492341452,6.203124989056452,-2.0000022380659885
0,0,1.0000000279852121,0.015625000744959646,-7.626958620221558e-08
0,0,155.00000070662668,16.54687558797578,-2.6999990317309113
0,0,2.9999999953926806,0.48437497726613,-7.626958620221558e-08
0,0,23.999999963141445,2.187499977387098,-0.8000009409881415
0,0,26.999999958534126,5.4687500562741915,-0.4000005086288638
0,0,2.9999999953926806,1.0625000083548384,-7.626958620221558e-08
0,0,2.0000000559704243,0.18749999483870988,-7.626958620221558e-08
0,0,1.0000000279852121,0.7656250259274182,-7.626958620221558e-08
0,0,22.999999492341452,6.203124989056452,-2.0000022380659885
0,0,1.0000000279852121,0.015625000744959646,-7.626958620221558e-08
0,0,155.00000070662668,16.54687558797578,-2.6999990317309113
0,0,2.9999999953926806,0.48437497726613,-7.626958620221558e-08
0,0,23.999999963141445,2.187499977387098,-0.8000009409881415
0,0,26.999999958534126,5.4687500562741915,-0.4000005086288638
0,0,2.9999999953926806,1.0625000083548384,-7.626958620221558e-08
0,0,2.0000000559704243,0.18749999483870988,-7.626958620221558e-08
0,0,1.0000000279852121,0.7656250259274182,-7.626958620221558e-08
0,0,13.000000452370715,5.171875073846771,-1.2000013733474333
0,0,1.0000000279852121,0.015625000744959646,-7.626958620221558e-08
0,0,155.00000070662668,16.54687558797578,-2.6999990317309113
0,0,2.9999999953926806,0.48437497726613,-7.626958620221558e-08
0,0,23.999999963141445,2.187499977387098,-0.8000009409881415
0,0,26.999999958534126,5.4687500562741915,-0.4000005086288638
0,0,2.9999999953926806,1.0625000083548384,-7.626958620221558e-08
0,0,2.0000000559704243,0.18749999483870988,-7.626958620221558e-08
0,0,1.0000000279852121,0.7656250259274182,-7.626958620221558e-08
0,0,13.000000452370715,5.171875073846771,-1.2000013733474333
0,0,11.000000219274378,9.312499781258074,-1.899998167012356
0,0,155.00000070662668,16.54687558797578,-2.6999990317309113
0,0,2.9999999953926806,0.48437497726613,-7.626958620221558e-08
0,0,23.999999963141445,2.187499977387098,-0.8000009409881415
0,0,26.999999958534126,5.4687500562741915,-0.4000005086288638
0,0,2.9999999953926806,1.0625000083548384,-7.626958620221558e-08
0,0,2.0000000559704243,0.18749999483870988,-7.626958620221558e-08
0,0,1.0000000279852121,0.7656250259274182,-7.626958620221558e-08
0,0,13.000000452370715,5.171875073846771,-1.2000013733474333
0,0,11.000000219274378,9.312499781258074,-1.899998167012356
0,0,4.000000111940849,1.15624994937097,-7.626958620221558e-08
0,0,2.9999999953926806,0.48437497726613,-7.626958620221558e-08
0,0,23.999999963141445,2.187499977387098,-0.8000009409881415
0,0,26.999999958534126,5.4687500562741915,-0.4000005086288638
0,0,2.9999999953926806,1.0625000083548384,-7.626958620221558e-08
0,0,2.0000000559704243,0.18749999483870988,-7.626958620221558e-08
0,0,1.0000000279852121,0.7656250259274182,-7.626958620221558e-08
0,0,13.000000452370715,5.171875073846771,-1.2000013733474333
0,0,11.000000219274378,9.312499781258074,-1.899998167012356
0,0,4.000000111940849,1.15624994937097,-7.626958620221558e-08
0,0,27.99999901232682,21.781249945661294,-5.900002490605161
0,0,23.999999963141445,2.187499977387098,-0.8000009409881415
0,0,26.999999958534126,5.4687500562741915,-0.4000005086288638
0,0,2.9999999953926806,1.0625000083548384,-7.626958620221558e-08
0,0,2.0000000559704243,0.18749999483870988,-7.626958620221558e-08
0,0,1.0000000279852121,0.7656250259274182,-7.626958620221558e-08
0,0,13.000000452370715,5.171875073846771,-1.2000013733474333
0,0,11.000000219274378,9.312499781258074,-1.899998167012356
0,0,4.000000111940849,1.15624994937097,-7.626958620221558e-08
0,0,27.99999901232682,21.781249945661294,-5.900002490605161
0,0,35.999999944712165,22.828124456217765,-3.9000003288087584
0,0,26.999999958534126,5.4687500562741915,-0.4000005086288638
0,0,2.9999999953926806,1.0625000083548384,-7.626958620221558e-08
0,0,2.0000000559704243,0.18749999483870988,-7.626958620221558e-08
0,0,1.0000000279852121,0.7656250259274182,-7.626958620221558e-08
0,0,13.000000452370715,5.171875073846771,-1.2000013733474333
0,0,11.000000219274378,9.312499781258074,-1.899998167012356
0,0,4.000000111940849,1.15624994937097,-7.626958620221558e-08
0,0,27.99999901232682,21.781249945661294,-5.900002490605161
0,0,35.999999944712165,22.828124456217765,-3.9000003288087584
0,0,41.000000881704835,16.015625809411258,-2.2999985993716336
0,0,2.9999999953926806,1.0625000083548384,-7.626958620221558e-08
0,0,2.0000000559704243,0.18749999483870988,-7.626958620221558e-08
0,0,1.0000000279852121,0.7656250259274182,-7.626958620221558e-08
0,0,13.000000452370715,5.171875073846771,-1.2000013733474333
0,0,11.000000219274378,9.312499781258074,-1.899998167012356
0,0,4.000000111940849,1.15624994937097,-7.626958620221558e-08
0,0,27.99999901232682,21.781249945661294,-5.900002490605161
0,0,35.999999944712165,22.828124456217765,-3.9000003288087584
0,0,41.000000881704835,16.015625809411258,-2.2999985993716336
0,0,6.999999753081705,2.156250109854834,-0.4000005086288638
0,0,2.0000000559704243,0.18749999483870988,-7.626958620221558e-08
0,0,1.0000000279852121,0.7656250259274182,-7.626958620221558e-08
0,0,13.000000452370715,5.171875073846771,-1.2000013733474333
0,0,11.000000219274378,9.312499781258074,-1.899998167012356
0,0,4.000000111940849,1.15624994937097,-7.626958620221558e-08
0,0,27.99999901232682,21.781249945661294,-5.900002490605161
0,0,35.999999944712165,22.828124456217765,-3.9000003288087584
